"PC1" "PC2" "PC3"
"MBP" -0.0277326446026831 0.0259444624771292 0.0447741822606519
"FTH1" -0.0142213340604876 0.0538976444734616 -0.00022639914233585
"FABP4" 0.0196618712216422 0.0600374030665449 -0.0228473681587226
"DDC" -0.0100657635416766 -0.00463681157649496 0.0759602998929349
"RN45S" -0.0200101872179413 0.0354717935930268 -0.0229141709042625
"LPL" 0.0339284100959482 0.0246936873000971 -0.0080966810624773
"ATP5G3" 0.0103250166902874 -0.0521980122750351 0.00549808815870027
"ACTC1" 0.0320897835665727 -0.0382769935598706 0.0260586250933783
"SLC25A4" 0.00586672786122907 -0.0562336764543664 -0.0149888754298887
"TUBA1A" -0.0225494322467627 -0.0433315694109746 -0.00623373485956176
"CFD" 0.0196689800933081 0.0600930644062822 -0.0200578033082152
"CHCHD2" 0.00216018739393622 -0.0216656388162931 -0.0130822805593891
"SLC6A4" -0.0260411709935294 0.0203609373330944 0.0617394134313795
"POSTN" 0.018257997194729 0.034999223596639 -0.0187479756803272
"TPH2" -0.0273519060137349 0.0193735945649246 0.0599648931555509
"SLC25A5" 0.0321394530175936 -0.0144374972145614 -0.023150987083872
"ATP5B" 0.0229390324914063 -0.0193979192231882 -0.0381784518820988
"SNHG11" -0.0380163554059758 0.0019239694468695 -0.0178298526963784
"MEG3" -0.032329813989403 -0.0120645185359971 -0.00255778190157979
"ATP5A1" 0.0134092092534801 -0.0112090528650596 -0.0278536519383639
"ANKRD1" 0.0347226978827537 -0.0324259962434716 0.0226289842955478
"RPL4" 0.0306020906200808 -0.0201516702487118 0.00529878146107799
"MGST1" 0.0324817226846321 0.0313300483279754 -0.00822695173124006
"MYL2" 0.0323887300699999 -0.0367927076245048 0.0302481698534928
"CAR3" 0.0211335902297763 0.0543216712524604 -0.0207291169575725
"TTC3" -0.0360317429433519 -0.0210254554532644 -0.00243766751819282
"TUBB5" -0.0163848254398024 -0.0373115790082877 0.0244503888137779
"YWHAB" -0.0274739459799823 -0.00223612558173403 -0.0186213334722218
"TUBA1B" -0.00465194110186497 -0.0313415165138685 0.0146337089858717
"SNAP25" -0.041526249799763 0.00019854362539825 -0.00391816637916279
"GNAS" -0.0045463524120968 -0.0277556101562023 0.0335472734468058
"SCD1" 0.00672069068420578 0.0627153460575132 -0.00977294001752198
"CIDEA" 0.0252514721936723 0.0377628993696057 -0.0118614078031426
"NME2" 0.0187599428652404 -0.00318185614947746 -0.00306741109694388
"EEF1B2" 0.0282366940160509 -0.00573365571828787 0.00658104267632542
"MLF1" 0.0241606400887101 -0.0448459409977499 0.0291388654255842
"APP" -0.0301983159756796 0.0023044265244677 0.0153392505000252
"FOS" 0.00508392421324134 -0.00867815755834657 0.0614820353660806
"ACTB" -0.0264152935675879 0.0372413538724127 -0.0393086632672795
"MALAT1" -0.0103301698446458 -0.0102984482801322 -0.0251695901118464
"HSP90AB1" -0.010511086425815 -0.0367891948914268 -0.0252300679133192
"ATP5C1" 0.0253040592829597 -0.0261534229631575 0.00184232397023286
"TMEM130" -0.0412819607095328 0.000905488708947909 0.00393681346966302
